Created Due : Wed Aug  3 11:30:34 2022

Time,actual_pos,actual_vel,actual_tor
1659493836850523508,-1,0,4,
1659493836852677306,-1,0,-11,
1659493836854660653,-1,0,4,
1659493836856534946,0,0,-31,
1659493836858668181,0,0,-21,
1659493836860609716,-1,0,29,
1659493836862678519,-1,0,24,
1659493836864612329,0,0,24,
1659493836866655345,-2,0,-16,
1659493836868630576,0,37,24,
1659493836870586804,1,0,-1,
1659493836872689387,0,0,4,
1659493836874605990,0,0,9,
1659493836876677285,0,0,4,
1659493836878567235,0,0,4,
1659493836880869792,0,0,9,
1659493836884330317,0,0,-11,
1659493836884468641,0,0,-21,
1659493836886661170,0,0,-31,
1659493836888610617,0,0,-31,
1659493836890615754,0,-37,19,
1659493836892677110,0,0,-11,
1659493836894669751,0,0,-1,
1659493836896723474,0,0,-11,
1659493836898653306,1,37,-31,
1659493836900662509,0,0,14,
1659493836902578693,-1,0,-21,
1659493836904583394,-1,0,4,
1659493836906593934,0,0,-26,
1659493836908539412,-1,0,19,
1659493836910627353,-1,0,-16,
1659493836912597379,-1,0,-16,
1659493836914585598,0,0,-26,
1659493836916583846,-1,0,-1,
1659493836918605772,0,0,-31,
1659493836920600519,0,0,-16,
1659493836922650866,0,0,4,
1659493836924606040,0,0,-6,
1659493836926667297,0,0,-16,
1659493836928579790,-1,-37,4,
1659493836930687900,-1,0,-6,
1659493836932601994,-1,0,39,
1659493836934655249,-1,0,4,
1659493836936524663,0,0,-11,
1659493836938605184,0,0,-6,
1659493836940607004,0,0,24,
1659493836942599142,1,37,-11,
1659493836944702217,1,0,-16,
1659493836946595578,0,0,-1,
1659493836948576219,0,0,14,
1659493836950585493,0,0,-26,
1659493836952608628,0,0,-51,
1659493836954680112,0,0,-26,
1659493836956688684,0,0,-1,
1659493836958655033,-1,0,14,
1659493836960683002,0,0,9,
1659493836962705597,1,0,-16,
1659493836964663736,1,0,24,
1659493836966654148,0,0,4,
1659493836968607914,0,0,4,
1659493836970498871,0,0,-11,
1659493836972541652,-1,0,-16,
1659493836974521843,-1,0,-16,
1659493836976580219,0,0,-31,
1659493836978519128,-1,-37,-1,
1659493836980539320,-1,0,-31,
1659493836984342547,-1,0,-6,
1659493836984478391,0,37,24,
1659493836986577081,0,0,-1,
1659493836988562965,-1,0,29,
1659493836990597362,-1,0,-11,
1659493836992607188,0,0,-36,
1659493836994695006,0,0,9,
1659493836996592482,-1,0,-26,
1659493836998616689,-1,0,-26,
1659493837000876472,0,0,-11,
1659493837002596303,1,0,-1,
1659493837004613606,1,0,-21,
1659493837006589495,1,0,-11,
1659493837008659618,1,0,-26,
1659493837010537911,1,0,-6,
1659493837012619392,2,0,9,
1659493837014678797,2,0,-26,
1659493837016692923,0,-37,-16,
1659493837018659312,0,0,-21,
1659493837020667305,1,0,-26,
1659493837022590874,1,0,29,
1659493837024590170,0,0,-11,
1659493837026541897,0,37,-6,
1659493837028550634,1,0,-16,
1659493837030604861,1,0,19,
1659493837032796318,0,0,-31,
1659493837034596996,0,37,-6,
1659493837036682225,1,0,-6,
1659493837038578609,0,0,34,
1659493837040607529,0,0,-1,
1659493837042668971,0,0,-1,
1659493837044626651,1,0,-6,
1659493837046681294,1,0,-21,
1659493837048608318,1,0,34,
1659493837050662453,-1,0,59,
1659493837052668758,-1,37,-31,
1659493837054595992,0,0,-11,
1659493837056585369,-1,0,-46,
1659493837058540404,-1,0,-16,
1659493837060540677,-1,0,-6,
1659493837062617973,-1,0,14,
1659493837064600209,-1,0,-31,
1659493837066590339,0,0,-21,
1659493837068598684,0,0,14,
1659493837070531382,0,-37,-26,
1659493837072600207,-1,0,-11,
1659493837074588870,0,0,-11,
1659493837076586353,0,0,-6,
1659493837078567624,0,0,19,
1659493837080590165,0,0,-16,
1659493837084379886,0,0,-11,
1659493837084482586,0,37,-16,
1659493837086584508,1,-37,19,
1659493837088586327,0,0,19,
1659493837090593088,0,0,-1,
1659493837092486119,0,0,9,
1659493837094619134,0,0,-1,
1659493837096576632,0,0,9,
1659493837098521040,0,0,-6,
1659493837100535435,0,0,14,
1659493837102528042,0,0,-21,
1659493837104596847,-1,0,14,
1659493837106598265,-1,0,-11,
1659493837108596363,0,0,-6,
1659493837110609457,0,0,-31,
1659493837112590496,-1,0,9,
1659493837114617888,-1,0,-21,
1659493837116615540,0,0,-11,
1659493837118607777,0,0,19,
1659493837120585326,0,0,14,
1659493837122540162,0,0,-21,
1659493837124600043,-1,0,-1,
1659493837126567046,-1,0,-16,
1659493837128587128,-1,0,-36,
1659493837130535811,-1,0,-21,
1659493837132536186,-1,0,-16,
1659493837134519784,-1,0,-6,
1659493837136520384,-1,0,-31,
1659493837138497665,-1,0,19,
1659493837140523898,-1,0,-21,
1659493837142593021,-1,0,-41,
1659493837144534860,-1,0,4,
1659493837146601421,-1,0,29,
1659493837148589219,-1,0,-31,
1659493837150614472,-1,0,-16,
1659493837152681364,0,0,-16,
1659493837154598551,-1,0,-11,
1659493837156582317,-1,0,29,
1659493837158590689,-1,0,19,
1659493837160616868,-1,0,-16,
1659493837162599958,-1,0,-6,
1659493837164601062,-1,0,-11,
1659493837166528060,-1,-37,4,
1659493837168598012,-2,37,-6,
1659493837170532045,0,0,-1,
1659493837172592688,0,0,-41,
1659493837174522763,0,0,-1,
1659493837176589244,-1,0,9,
1659493837178522322,-1,37,-26,
1659493837180603388,0,0,29,
1659493837184980486,0,0,-31,
1659493837186595186,-1,0,-1,
1659493837188530410,-1,0,19,
1659493837190596289,-1,0,4,
1659493837192597181,0,0,4,
1659493837194526710,0,0,24,
1659493837196522878,-1,0,9,
1659493837198596507,-1,0,-11,
1659493837200615967,1,0,-36,
1659493837202607499,-1,0,9,
1659493837204609204,-1,0,-11,
1659493837206605823,-1,0,4,
1659493837208533822,-1,0,-16,
1659493837210586578,-1,0,-21,
1659493837212529420,-2,0,-1,
1659493837214647547,-2,0,39,
1659493837216542432,-1,0,-1,
1659493837218525234,-1,0,-21,
1659493837220523727,-1,0,4,
1659493837222485310,-1,0,-21,
1659493837224597275,-1,0,14,
1659493837226596544,-1,0,-1,
1659493837228589618,-1,0,9,
1659493837230593128,-1,0,24,
1659493837232638052,-1,0,-31,
1659493837234614480,0,0,-61,
1659493837236601265,0,0,14,
1659493837238594370,-2,0,-21,
1659493837240597879,-1,37,-31,
1659493837242595183,0,0,-31,
1659493837244617124,1,0,-26,
1659493837246590654,0,0,29,
1659493837248589895,-1,0,-6,
1659493837250588193,1,0,-21,
1659493837252494444,-1,0,4,
1659493837254532417,-1,0,24,
1659493837256606835,-1,0,-26,
1659493837258606898,-1,37,-21,
1659493837260543631,0,0,-11,
1659493837262607630,0,0,19,
1659493837264600511,-1,0,9,
1659493837266606612,-1,0,24,
1659493837268517742,-1,0,29,
1659493837270539445,0,0,19,
1659493837272534483,-1,0,54,
1659493837274497424,-1,0,-21,
1659493837276544252,-1,37,49,
1659493837278508689,0,0,-26,
1659493837280532809,-2,0,-6,
1659493837284392749,-1,0,19,
1659493837284527088,-1,0,-6,
1659493837286528835,-1,0,-1,
1659493837288548168,-1,0,29,
1659493837290536463,-1,0,14,
1659493837292599901,-1,0,-41,
1659493837294590223,0,0,-6,
1659493837296617716,-2,0,14,
1659493837298530840,-2,37,4,
1659493837300577161,0,0,4,
1659493837302548400,0,0,44,
1659493837304585652,-1,0,-1,
1659493837306527988,-1,0,9,
1659493837308575899,-1,0,-1,
1659493837310605131,-1,0,-26,
1659493837312487151,-1,0,-11,
1659493837314538609,-1,0,4,
1659493837316489883,0,0,-16,
1659493837318535601,0,-37,-1,
1659493837320531110,-1,0,-11,
1659493837322533618,-1,0,39,
1659493837324516259,-1,0,-26,
1659493837326529688,-1,0,-11,
1659493837328492804,-1,0,-36,
1659493837330515256,-1,-37,-6,
1659493837332516552,-2,0,-31,
1659493837334519730,-2,37,-26,
1659493837336740654,-1,0,-31,
1659493837338528497,0,0,-46,
1659493837340525240,0,-37,-11,
1659493837342477494,-1,0,-1,
1659493837344514423,-1,0,-6,
1659493837346525573,-1,0,-26,
1659493837348522355,-1,0,-16,
1659493837350505614,0,0,4,
1659493837352529521,0,0,-1,
1659493837354511904,0,0,-21,
1659493837356525790,-1,0,-1,
1659493837358521800,-1,0,-11,
1659493837360516719,-1,0,-6,
1659493837362525954,-1,0,-21,
1659493837364588924,-2,0,-31,
1659493837366563590,-1,0,4,
1659493837368524604,-1,0,9,
1659493837370509266,-1,0,-1,
1659493837372592125,-1,0,14,
1659493837374512285,0,0,-1,
1659493837376527039,-1,0,-16,
1659493837378515530,-2,0,-11,
1659493837380527836,-1,0,-51,
1659493837384285289,0,0,-16,
1659493837384464430,-1,0,-16,
1659493837386519181,-1,0,-11,
1659493837388591124,0,0,-6,
1659493837390607756,0,0,-26,
1659493837392610693,-1,0,49,
1659493837394579513,-1,0,-1,
1659493837396504844,0,0,-21,
1659493837398528225,-1,0,24,
1659493837400506427,-1,0,-11,
1659493837402504015,0,0,9,
1659493837404538268,0,0,-1,
1659493837406524448,0,0,4,
1659493837408538724,0,-37,4,
1659493837410538303,-1,0,14,
1659493837412565007,-1,0,-1,
1659493837414535304,-1,0,-16,
1659493837416604866,-1,37,-11,
1659493837418602499,0,0,-16,
1659493837420539486,0,0,-41,
1659493837422568652,0,0,-16,
1659493837424603694,0,0,4,
1659493837426587692,0,0,-6,
1659493837428604228,0,0,-26,
1659493837430535250,0,0,-6,
1659493837432483053,0,0,24,
1659493837434538219,-1,0,24,
1659493837436528497,0,0,4,
1659493837438497215,0,0,-1,
1659493837440524698,-1,0,24,
1659493837442524013,-1,0,4,
1659493837444571699,-1,0,-1,
1659493837446636684,-1,0,-6,
1659493837448533902,-1,0,-11,
1659493837450579352,-1,0,-6,
1659493837452544191,-1,0,9,
1659493837454512268,-1,0,-6,
1659493837456708287,-1,0,4,
1659493837458544354,0,0,4,
1659493837460532660,0,0,-6,
1659493837462486826,-1,0,-11,
1659493837464526153,0,0,-31,
1659493837466538831,0,0,-16,
1659493837468544507,0,0,14,
1659493837470525496,0,0,9,
1659493837472563297,0,0,-1,
1659493837474529364,-1,0,19,
1659493837476529484,-1,0,-1,
1659493837478486204,-1,0,9,
1659493837480544394,-1,0,-56,
1659493837484424460,-2,0,19,
1659493837484544582,-2,0,-21,
1659493837486534456,0,0,-21,
1659493837488531139,0,0,-26,
1659493837490513427,-1,0,19,
1659493837492486653,-1,0,-36,
1659493837494537320,0,0,14,
1659493837496502560,0,0,-26,
1659493837498511008,0,0,-21,
1659493837500517524,0,0,-11,
1659493837502525551,0,0,9,
1659493837504532659,-1,0,24,
1659493837506535772,-1,0,-16,
1659493837508501596,0,0,-16,
1659493837510534042,-1,0,-6,
1659493837512542561,-2,0,-6,
1659493837514532628,0,0,-61,
1659493837516537214,0,0,-21,
1659493837518592761,-1,0,-11,
1659493837520537980,-1,0,14,
1659493837522524234,0,37,19,
1659493837524535071,0,0,39,
1659493837526527107,0,0,14,
1659493837528471384,0,0,-11,
1659493837530529509,0,0,-6,
1659493837532525351,1,0,-26,
1659493837534517789,0,0,4,
1659493837536527159,0,0,24,
1659493837538500337,0,0,29,
1659493837540534228,0,0,34,
1659493837542520973,-1,0,19,
1659493837544528663,0,0,4,
1659493837546540087,0,0,-1,
1659493837548491540,0,0,-26,
1659493837550538056,0,0,-1,
1659493837552478818,0,0,-21,
1659493837554496161,0,0,-6,
1659493837556523066,0,0,-1,
1659493837558531011,0,0,-6,
1659493837560525051,0,0,4,
1659493837562527742,0,0,9,
1659493837564528468,0,0,-21,
1659493837566526770,0,0,4,
1659493837568493948,0,0,-21,
1659493837570531745,0,0,-11,
1659493837572527919,-1,0,-1,
1659493837574518720,0,37,4,
1659493837576534994,0,0,-21,
1659493837578510758,-1,0,-6,
1659493837580984680,0,0,-11,
1659493837584492999,-1,0,-1,
1659493837584580129,-1,0,-11,
1659493837586523586,-1,0,-1,
1659493837588581917,-1,0,-31,
1659493837590658906,-1,37,4,
1659493837592610383,0,0,29,
1659493837594599358,0,0,-26,
1659493837596610035,0,0,24,
1659493837598614017,-1,0,-6,
1659493837600602932,0,0,-26,
1659493837602537473,0,0,14,
1659493837604528653,1,0,-41,
1659493837606535764,0,0,19,
1659493837608514090,0,0,-11,
1659493837610574471,0,0,-26,
1659493837612484793,0,0,-11,
1659493837614504901,1,0,-26,
1659493837616526338,0,0,19,
1659493837618527602,0,0,-21,
1659493837620527987,0,0,-36,
1659493837622519522,0,0,4,
1659493837624528308,0,0,-31,
1659493837626525583,0,0,-1,
1659493837628483461,-1,0,-21,
1659493837630525404,0,0,-11,
1659493837632524976,-1,-37,19,
1659493837634612168,-1,0,-11,
1659493837636525525,0,0,-6,
1659493837638521462,0,0,-26,
1659493837640589424,-1,0,-11,
1659493837642485379,1,37,19,
1659493837644589862,1,0,-21,
1659493837646604177,-1,0,29,
1659493837648497773,0,0,-26,
1659493837650529380,0,0,-11,
1659493837652536809,-2,0,14,
1659493837654525197,-1,0,-6,
1659493837656530361,0,0,-26,
1659493837658500587,-1,0,-26,
1659493837660539281,0,37,-36,
1659493837662561912,0,0,54,
1659493837664558994,-1,0,-16,
1659493837666548440,-1,0,-21,
1659493837668609421,-1,0,-6,
1659493837670494217,-1,0,4,
1659493837672489594,-1,0,24,
1659493837674496592,-1,0,-31,
1659493837676527973,-1,0,19,
1659493837678496001,-1,0,9,
1659493837680516707,0,0,-6,
1659493837684288558,-1,0,19,
1659493837684470890,-1,0,19,
1659493837686531012,-2,0,14,
1659493837688532830,0,37,-26,
1659493837690527791,0,0,-41,
