Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335973058173450,-4128,0,21,
1659335973059160245,-4129,-37,-18,
1659335973060183025,-4129,0,14,
1659335973061173741,-4129,0,35,
1659335973064513147,-4128,0,3,
1659335973066107948,-4128,0,-26,
1659335973066284350,-4128,0,28,
1659335973067185362,-4128,0,7,
1659335973068158905,-4128,0,38,
1659335973069185121,-4128,0,0,
1659335973070158649,-4129,0,28,
1659335973071193121,-4129,0,-7,
1659335973072171219,-4129,0,5,
1659335973073192986,-4129,0,-14,
1659335973074175124,-4129,0,-18,
1659335973075180879,-4129,0,18,
1659335973076172484,-4129,0,14,
1659335973077174121,-4129,0,-3,
1659335973078173553,-4129,0,-17,
1659335973079171224,-4129,0,26,
1659335973080180485,-4129,0,-14,
1659335973081178828,-4129,0,14,
1659335973082178673,-4129,0,16,
1659335973083178225,-4130,-37,-7,
1659335973084174789,-4130,0,-18,
1659335973085176350,-4130,0,-5,
1659335973086173718,-4130,0,7,
1659335973087169807,-4130,0,-7,
1659335973088179380,-4129,37,-12,
1659335973089177156,-4129,0,3,
1659335973090188745,-4129,0,24,
1659335973091193877,-4129,0,18,
1659335973092181675,-4129,0,-7,
1659335973093174804,-4129,0,-24,
1659335973095135452,-4129,0,-5,
1659335973095313954,-4130,-37,28,
1659335973096183241,-4130,0,28,
1659335973097178453,-4130,0,-7,
1659335973098168138,-4130,0,-3,
1659335973099162836,-4130,0,3,
1659335973100169192,-4130,0,-18,
1659335973101173428,-4130,0,12,
1659335973102165073,-4130,0,3,
1659335973103175582,-4130,0,24,
1659335973104174239,-4130,0,-1,
1659335973105172056,-4130,0,24,
1659335973106179744,-4130,0,-3,
1659335973107167589,-4130,0,45,
1659335973108175910,-4130,0,-16,
1659335973109170134,-4131,-37,20,
1659335973110168408,-4131,0,-7,
1659335973111169059,-4130,0,3,
1659335973112200658,-4129,0,-14,
1659335973113170100,-4129,0,10,
1659335973114170308,-4129,0,9,
1659335973115176256,-4129,0,24,
1659335973116175654,-4129,0,-17,
1659335973117171044,-4130,0,5,
1659335973118177091,-4130,0,26,
1659335973119170725,-4130,0,26,
1659335973120181022,-4130,0,-16,
1659335973121490232,-4129,37,3,
1659335973122203693,-4129,0,-17,
1659335973123176354,-4129,0,16,
1659335973124180581,-4129,0,-7,
1659335973125176580,-4129,0,16,
1659335973127092501,-4129,0,43,
1659335973127274927,-4128,37,-14,
1659335973128178013,-4128,0,21,
1659335973129191477,-4129,-37,3,
1659335973130173381,-4129,0,-3,
1659335973131172018,-4129,0,7,
1659335973132168651,-4128,0,-12,
1659335973133166912,-4127,0,-3,
1659335973134173964,-4127,0,-5,
1659335973135167314,-4127,0,16,
1659335973136168713,-4128,0,43,
1659335973137164379,-4128,0,45,
1659335973138165849,-4128,0,5,
1659335973139182804,-4128,0,-7,
1659335973140154180,-4128,0,-22,
1659335973141152844,-4128,0,-28,
1659335973142153154,-4128,0,5,
1659335973143152238,-4128,0,38,
1659335973144152660,-4128,0,16,
1659335973145181109,-4128,0,-14,
1659335973146179013,-4128,0,-5,
1659335973147148335,-4128,0,5,
1659335973148149768,-4128,0,-26,
1659335973149149355,-4128,0,3,
1659335973150177550,-4128,0,-7,
1659335973151178919,-4128,0,-22,
1659335973152181499,-4128,0,-5,
1659335973153182643,-4127,0,-14,
1659335973154536773,-4127,0,28,
1659335973155196907,-4127,0,14,
1659335973157153297,-4127,0,26,
1659335973157333347,-4127,0,28,
1659335973158184282,-4128,0,24,
1659335973159182450,-4128,0,16,
1659335973160174368,-4128,0,-5,
1659335973161176057,-4128,0,-5,
1659335973164812128,-4128,0,-9,
1659335973165142439,-4128,0,-19,
1659335973166173896,-4127,37,12,
1659335973167173867,-4127,0,-3,
1659335973168174421,-4127,0,28,
1659335973169180704,-4127,0,5,
1659335973170178730,-4128,0,-17,
1659335973171175845,-4128,0,5,
1659335973172201689,-4128,0,3,
1659335973173156308,-4128,0,18,
1659335973174175608,-4127,0,-19,
1659335973175175254,-4127,0,5,
1659335973176173859,-4127,0,-7,
1659335973177177152,-4127,0,43,
1659335973178175211,-4127,0,9,
1659335973179171204,-4127,0,-7,
1659335973180171886,-4128,-37,8,
1659335973181175142,-4128,0,35,
1659335973182184046,-4129,0,26,
1659335973183195142,-4129,0,-11,
1659335973184182610,-4128,0,-31,
1659335973185177535,-4128,0,10,
1659335973187203550,-4127,0,-19,
1659335973187340307,-4127,0,16,
1659335973188179208,-4127,0,3,
1659335973189180468,-4127,0,3,
1659335973190159107,-4127,0,14,
1659335973191151535,-4128,0,0,
1659335973192144566,-4128,0,-5,
1659335973193149710,-4128,0,7,
1659335973194150963,-4128,0,21,
1659335973195147121,-4128,0,-12,
1659335973196151248,-4127,37,33,
1659335973197144276,-4127,0,-5,
1659335973198157688,-4128,-37,26,
1659335973199150223,-4129,-37,33,
1659335973200151430,-4129,0,-18,
1659335973201147971,-4129,0,-14,
1659335973202151444,-4129,0,14,
1659335973203168777,-4129,0,33,
1659335973204149382,-4128,37,5,
1659335973205159900,-4127,37,-26,
1659335973206173702,-4127,0,3,
1659335973207171368,-4127,0,-5,
1659335973208172745,-4128,0,29,
1659335973209169568,-4128,0,26,
1659335973210171901,-4128,0,-24,
1659335973211173040,-4128,0,-17,
1659335973212175278,-4128,0,0,
1659335973213160630,-4128,0,21,
1659335973214168901,-4128,0,-9,
1659335973215189978,-4127,0,-5,
1659335973216175990,-4126,0,7,
1659335973217373365,-4127,-37,0,
1659335973218170986,-4128,0,-2,
1659335973219169517,-4128,0,16,
